ID,name,healthCardID,gender,birthDay,address,phone,vaccines
L137788677,彭宜安,000000000000,Male,1997/09/27,南投縣名間鄉南田路106號3樓,0932802284,
F204374358,鄭元婷,000000000000,Male,1990/08/25,新竹縣新埔鎮大茅埔4號6樓,0925534418,
B135110324,陸文靜,000000000000,Male,2019/07/15,彰化縣大城鄉人和巷84號9樓,0913807523,
B180216522,趙雯亞,000000000000,Female,1971/09/18,苗栗縣後龍鎮埔頂里中心路125號21樓,0913377437,
L243048113,淩承辰,000000000000,Female,1961/03/10,新北市貢寮區尖山脚街451號6樓,0935825364,
F228035045,夏侯泓儀,000000000000,Female,1945/10/09,臺北市中正區衡陽路255號10樓,0929011758,
K124221823,景融雅,000000000000,Female,2005/07/23,南投縣埔里鎮慈安一巷458號11樓,0933670872,
L248268348,褚璿伯,000000000000,Female,1958/01/30,南投縣草屯鎮調和巷222號12樓,0918123748,
T251322572,簡廷哲,000000000000,Male,2021/06/24,桃園市平鎮區龍福路95號18樓,0924281185,
B266286471,郭逵緯,000000000000,Female,2001/06/10,臺中市大安區松圳路380號4樓,0930007406,
T130547326,韓年香,000000000000,Female,1941/02/22,南投縣鹿谷鄉六合街153號22樓,0952681468,
Z147381315,高郡瑞,000000000000,Male,1954/02/01,雲林縣土庫鎮下圍262號15樓,0970275740,
S114637815,戴民益,000000000000,Male,1987/07/05,臺東縣達仁鄉新生路159號23樓,0927362866,
V105865813,謝鴻超,000000000000,Female,1943/05/03,桃園市龍潭區溝東416號2樓,0913380388,
D264880544,柳清柏,000000000000,Female,1964/11/18,臺中市霧峰區法治北街73號15樓,0913126062,
Y276450374,彭峻筱,000000000000,Female,1998/12/24,臺北市文山區羅斯福路４段460號21樓,0956184327,
U172474481,顏珍政,000000000000,Female,1988/09/19,屏東縣佳冬鄉佳昌路245號13樓,0936760828,
F281824088,吳宇珊,000000000000,Male,2010/09/03,彰化縣彰化市林森西路329號19樓,0925275308,
R245484461,艾光行,000000000000,Male,1984/07/01,花蓮縣吉安鄉永吉路１段410號16樓,0952502440,
Q254337125,袁俐昆,000000000000,Female,1973/05/17,金門縣金沙鎮后水頭176號16樓,0915784686,
S131573463,湯韻賢,000000000000,Male,1939/09/21,新北市石碇區碇南路２段鹿窟巷45號14樓,0910470848,
I104228712,童祥奐,000000000000,Female,1982/07/31,臺北市士林區天母北路52號24樓,0921768461,
A130717206,焦君雅,000000000000,Male,1946/10/19,金門縣金沙鎮仁愛街387號7樓,0968507105,
R184834010,郭慧宣,000000000000,Male,1930/05/21,南投縣竹山鎮集山路３段339號4樓,0987121753,
B110584033,顧珍霞,000000000000,Male,2012/01/03,新北市中和區民享街362之1號,0912632842,
F136355081,尤君慶,000000000000,Male,2015/06/01,臺中市北屯區大連路１段65號23樓,0913580770,
Q166100501,葉群旭,000000000000,Female,1951/05/12,苗栗縣公館鄉信義街179號24樓,0929555778,
W158204748,融慶曉,000000000000,Male,1962/06/05,花蓮縣花蓮市中和街14號2樓,0928555664,
R140081780,車恒宏,000000000000,Male,1968/09/08,臺北市萬華區中華路２段416巷66弄190號5樓,0928336242,
W271276771,陸欣秀,000000000000,Male,2006/06/23,屏東縣內埔鄉永光路461號12樓,0919214157,
F220441685,顏御,000000000000,Male,1951/08/04,彰化縣秀水鄉正興巷384號19樓,0961550727,
F150665066,馬燕雅,000000000000,Male,1956/07/21,臺中市南屯區三厝西二巷1弄377號7樓,0937362472,
Y151273600,莊均宗,000000000000,Female,1986/04/17,桃園市大園區民安路233號5樓,0955518186,
F284347426,弘容甯,000000000000,Female,1937/08/29,桃園市中壢區民族路３段495號16樓,0916875811,
W140718153,羅彤敏,000000000000,Female,2007/10/07,新竹縣竹北市仁義路300號13樓,0914373170,
W241483142,鄔偉樺,000000000000,Male,1955/02/12,苗栗縣竹南鎮中山路113號15樓,0953878678,
B186842731,錢欣勳,000000000000,Female,1949/12/11,彰化縣溪州鄉民權路238號22樓,0912167286,
P226746631,從智筑,000000000000,Male,1950/12/11,彰化縣二林鎮三和街211號4樓,0958360385,
K275126413,雷瑄珠,000000000000,Female,2017/09/18,雲林縣麥寮鄉新興路橫街巷273號10樓,0968405600,
F261687329,陸儀良,000000000000,Male,1965/01/05,臺南市永康區中正六街371號12樓,0936620567,
G225212167,燕柏聰,000000000000,Male,1972/12/11,嘉義縣水上鄉榮典路44號11樓,0930626854,
S264663241,戚柔云,000000000000,Female,1954/12/06,金門縣金城鎮金山路11號9樓,0934262621,
I170476642,張晉吉,000000000000,Female,1987/11/05,苗栗縣竹南鎮四維街205號9樓,0953447631,
R285471126,盧之宏,000000000000,Male,2017/03/06,宜蘭縣冬山鄉南興路345號12樓,0921637678,
U105305035,陳君尚,000000000000,Female,1991/12/06,雲林縣古坑鄉石橋404號13樓,0963533864,
X111676037,潘琳軒,000000000000,Female,1961/10/23,臺中市清水區四維路２段187號,0939081811,
F151314031,慕靜筱,000000000000,Male,1948/12/01,雲林縣口湖鄉東安路37號,0960465688,
E186536428,尤思芸,000000000000,Male,2006/07/04,高雄市岡山區為隨西路367號14樓,0929311282,
M265807484,江雲俊,000000000000,Female,1998/01/31,新竹縣新豐鄉忠六街1號22樓,0928600466,
T201571089,陽甄毓,000000000000,Female,2015/01/29,苗栗縣苗栗市農場304號20樓,0926564126,
Z225566469,杜永彥,000000000000,Female,1949/07/11,屏東縣內埔鄉後廟巷292號12樓,0970461588,
N224621774,習聖芬,000000000000,Female,1948/09/04,高雄市楠梓區宏毅二路北八巷331號22樓,0982811512,
F107266771,賴宜哲,000000000000,Male,1976/12/28,新竹縣芎林鄉文化街215號9樓,0972672625,
D122612357,易安美,000000000000,Female,1964/11/23,新北市貢寮區文秀坑街245號10樓,0933501300,
D266225247,蔡耀霙,000000000000,Male,2000/10/06,新北市新店區三民路147號13樓,0960227238,
P230387060,高韋君,000000000000,Male,1948/10/09,高雄市鳥松區山腳路319號,0920357581,
M187288347,鳳郡祥,000000000000,Female,1958/07/24,苗栗縣通霄鎮竹林路201號4樓,0914287578,
T270781411,施哲舜,000000000000,Male,2018/02/11,高雄市小港區第七十八號碼頭418號15樓,0917487535,
W275880762,龐翎雅,000000000000,Male,2000/01/04,新竹縣北埔鄉小分林113號11樓,0920724552,
T171087081,葉強文,000000000000,Male,1940/03/02,屏東縣屏東市中山路290號17樓,0935682374,
F258510775,嚴靜筱,000000000000,Female,1941/02/15,南投縣仁愛鄉壽亭巷351號18樓,0971175026,
P234824608,陽慧霖,000000000000,Female,1950/10/31,高雄市大社區文華路64號11樓,0928605112,
T106537129,張特祺,000000000000,Male,1940/10/02,苗栗縣大湖鄉龜山303號7樓,0932087268,
M274335624,皇甫琬山,000000000000,Male,1971/04/23,桃園市龜山區中坑83號13樓,0932725472,
Z148844508,梁蘭媚,000000000000,Female,1955/02/12,臺北市松山區復興北路99號10樓,0927426482,
J225157841,古嵐寧,000000000000,Female,1931/03/18,臺中市大甲區中山路２段162號,0923757550,
B281185313,楊宏旻,000000000000,Female,1999/08/27,臺北市信義區松隆路95號15樓,0916306201,
C185686221,花淑新,000000000000,Male,2005/04/19,新北市三重區五華街389號18樓,0911207615,
T204237066,耿正森,000000000000,Female,1980/02/29,桃園市龜山區壽山路仁德巷414號13樓,0972248801,
Y284108469,周奕志,000000000000,Male,1939/04/21,高雄市楠梓區榮昌街360號5樓,0937325317,
Y233726039,趙榮芬,000000000000,Female,1947/07/28,彰化縣和美鎮平安路147號18樓,0928428016,
H100284675,陶寧慧,000000000000,Male,1989/09/26,高雄市鳳山區鳳東三街454號10樓,0916400330,
E222244245,謝政慕,000000000000,Male,1980/06/20,雲林縣斗南鎮建成街331號2樓,0910617720,
G207024212,龔欣美,000000000000,Female,1961/03/26,桃園市中壢區文化路392號13樓,0963320485,
P231836428,李佑琪,000000000000,Female,2011/10/11,嘉義縣大林鎮共和街11號13樓,0927472573,
A251130603,鍾沅武,000000000000,Female,1944/02/10,新北市蘆洲區民族路422巷82弄187號24樓,0963026302,
U237445408,杜元宜,000000000000,Female,1976/08/27,高雄市楠梓區常順街162號3樓,0922322078,
V250187204,蘇巧子,000000000000,Male,1982/03/14,宜蘭縣宜蘭市和睦路161號16樓,0920005286,
M246406010,房宛宗,000000000000,Male,1940/07/15,新竹縣湖口鄉八德路２段204號3樓,0918371053,
L276020723,劉育慧,000000000000,Male,2004/03/21,高雄市前鎮區天倫街230號19樓,0929010844,
D128847149,潘雍郁,000000000000,Female,1951/12/27,新竹縣五峰鄉忠興191號16樓,0910415058,
B184674440,盧志威,000000000000,Male,1957/08/05,雲林縣斗六市西平路325號13樓,0914862043,
I211700454,崔智旻,000000000000,Female,1948/05/06,高雄市鳳山區鳳松路257號21樓,0936483858,
Z158231139,李蕙霖,000000000000,Female,2000/11/27,桃園市中壢區中華路１段24號6樓,0926327044,
I208374888,馮晉世,000000000000,Male,1954/03/04,新竹縣竹東鎮頭重埔141號12樓,0933565228,
T200702526,仇建輝,000000000000,Male,1950/08/07,臺東縣卑南鄉發電所72號3樓,0952762070,
H217433304,梁偉得,000000000000,Male,1984/08/11,苗栗縣頭份市自強路忠孝巷396號16樓,0970220485,
R150010677,何維俊,000000000000,Female,1968/10/08,臺南市安南區台江大道３段25號13樓,0922022403,
I202506733,莘玲,000000000000,Female,1937/01/17,臺南市仁德區文華一街114號24樓,0935438575,
Y258544122,崔鈞詠,000000000000,Female,2008/05/14,臺中市北屯區崇德十一路41號10樓,0910831430,
H244317204,尹儀靜,000000000000,Male,2019/03/08,新竹縣湖口鄉中美路263號17樓,0937482145,
D257727612,王逸俊,000000000000,Male,1942/11/23,嘉義縣太保市田尾141號,0986632451,
D116742353,蕭如禹,000000000000,Female,1940/11/08,嘉義縣民雄鄉公園路414號22樓,0913248354,
E114140647,陽駿梅,000000000000,Female,2003/08/27,臺南市學甲區新生路55號18樓,0960750358,
T162617231,葉良菁,000000000000,Male,2018/02/24,彰化縣鹿港鎮興化巷266號2樓,0968455257,
U226367733,金雅薇,000000000000,Male,2000/05/08,屏東縣屏東市中華路41號5樓,0988617758,
C274152243,何詩亮,000000000000,Male,2001/07/19,桃園市蘆竹區富上街448號8樓,0938112727,
T266377534,王禧真,000000000000,Female,1991/09/03,新北市汐止區夢湖路9號14樓,0911308860,
A265408203,徐翰茵,000000000000,Male,1978/04/24,新竹縣湖口鄉祥喜391號14樓,0963603538,
T115778174,錢之馨,000000000000,Female,1940/04/11,臺中市西屯區成都路477號9樓,0970282308,
Y267176730,魏桂昌,000000000000,Male,1982/11/08,臺北市萬華區西園路２段95號3樓,0987410580,
K242201189,郭滋翠,000000000000,Female,2010/11/23,臺東縣臺東市豐原街367號17樓,0932276238,
L221881605,趙瑩如,000000000000,Female,1948/11/09,臺南市善化區北園二路345號9樓,0915110183,
P137282048,葉仁萱,000000000000,Female,1991/05/25,新竹市香山區香檳二街462號11樓,0939608474,
X137767220,邱冠郁,000000000000,Female,2008/02/21,花蓮縣花蓮市康樂街106號2樓,0920045330,
K167357242,杜葶文,000000000000,Female,1993/11/09,雲林縣水林鄉東平街204號22樓,0986163787,
G172468777,鄭迪遠,000000000000,Female,1978/10/18,臺中市南屯區大墩五街375號19樓,0961377312,
G106112579,古苾淳,000000000000,Male,1963/07/22,桃園市平鎮區中豐路327巷354號9樓,0986462824,
B103833585,許孟思,000000000000,Male,2007/09/04,桃園市中壢區龍川三街402號18樓,0910162661,
V257147520,丁佳君,000000000000,Male,1979/01/31,臺中市梧棲區民權街258號15樓,0917871353,
P278826388,林元淳,000000000000,Female,1957/12/07,新竹縣寶山鄉洽水路331號13樓,0988036377,
Z188186807,蔡怡志,000000000000,Female,1993/03/04,臺東縣關山鎮永豐258號4樓,0968038078,
G163805182,鍾諭冠,000000000000,Male,1974/11/02,花蓮縣新城鄉博愛路287號11樓,0914007704,
A168687615,陸昭俊,000000000000,Male,1956/05/09,彰化縣竹塘鄉田頭村光明路427號17樓,0956634556,
Y158556166,王韋佩,000000000000,Male,1995/03/24,高雄市鳳山區南京路385巷301號18樓,0961474670,
V116147460,康靜夙,000000000000,Female,1939/04/30,宜蘭縣五結鄉親河路１段307號18樓,0930430255,
P237811541,高瑩玉,000000000000,Male,1933/05/05,宜蘭縣三星鄉義興路476號10樓,0917351160,
J148432569,陶明儀,000000000000,Male,1944/07/31,新北市板橋區三民路２段正泰四巷179號11樓,0914825363,
V280332744,辛友弘,000000000000,Male,2007/02/25,彰化縣溪州鄉福德巷327號17樓,0924244318,
V207271035,韓紘珊,000000000000,Male,1943/04/07,臺南市仁德區勝利路237號7樓,0923551523,
V125376746,雷百博,000000000000,Male,2005/02/22,桃園市平鎮區清泉街6號24樓,0934721552,
B281473078,孫容彥,000000000000,Female,1984/01/10,雲林縣北港鎮博愛路348號20樓,0961343132,
Z256222205,趙怡東,000000000000,Male,1971/05/18,臺南市東區小東路387號22樓,0922873775,
N261035063,任智鈺,000000000000,Male,2019/11/07,雲林縣臺西鄉萬興111號10樓,0956417737,
U131157747,喬奇璇,000000000000,Male,1963/06/21,高雄市楠梓區啟昌街173號14樓,0927346860,
L244535115,別鳳玉,000000000000,Female,2018/08/22,雲林縣斗六市泰安路104號22樓,0933133818,
W172802077,酆弘濱,000000000000,Female,2004/10/18,臺北市萬華區永福街164號21樓,0960415285,
I130254868,居堯秋,000000000000,Female,1947/10/05,桃園市中壢區中美路147號24樓,0960200881,
A158113822,莊全仕,000000000000,Female,1979/04/24,桃園市平鎮區振興路430號19樓,0918640238,
B261353404,章定志,000000000000,Male,1964/04/04,桃園市新屋區仁愛街298號12樓,0986713031,
M185182655,韓宏詩,000000000000,Male,1970/05/26,臺中市神岡區三社東路122號17樓,0934213467,
J167225333,曹瑜潔,000000000000,Male,1946/03/11,桃園市桃園區正康三街234號2樓,0915763084,
H262541628,葛亭玉,000000000000,Female,2016/09/11,彰化縣和美鎮月北路496號5樓,0982402767,
X111557215,曾志銘,000000000000,Male,1989/11/04,新北市瑞芳區坑子內路50號5樓,0971136421,
A107170604,孫蘭心,000000000000,Female,2009/01/11,臺中市南屯區永平路11號20樓,0924661307,
Q132542773,施心芳,000000000000,Female,1958/03/26,桃園市蘆竹區長壽三街89號17樓,0929826048,
Q230642405,連姿宇,000000000000,Female,1993/07/18,臺中市梧棲區光明東街426號21樓,0961403855,
B240214653,陸志家,000000000000,Male,2001/06/24,桃園市大溪區后尾三橫巷245號12樓,0918213603,
E214005261,方娟惠,000000000000,Female,1937/10/11,雲林縣北港鎮裕民街123號17樓,0982184221,
H232472067,米豪錦,000000000000,Female,2006/10/11,花蓮縣玉里鎮自強街300號21樓,0925202756,
X254145846,康滿崑,000000000000,Male,1941/10/04,新北市土城區永寧路472號20樓,0925246710,
M113677516,劉苓佩,000000000000,Female,1932/01/29,臺南市仁德區北保二街142號15樓,0916764114,
K283247707,黃涵建,000000000000,Female,1955/08/24,桃園市龍潭區武漢路271號9樓,0953775023,
B251143076,錢秀博,000000000000,Female,2007/12/05,宜蘭縣羅東鎮興東南路225號20樓,0938236553,
E274268051,王佳鎬,000000000000,Male,1966/09/02,屏東縣麟洛鄉中正路428號16樓,0913662223,
Q113454150,吳明諭,000000000000,Male,1998/04/16,南投縣南投市水尾巷25號23樓,0987202437,
F206216626,畢棋芳,000000000000,Female,1970/11/02,新北市新店區僑愛四路323號10樓,0932671401,
Z125351671,顧廷紹,000000000000,Female,1955/03/29,嘉義縣民雄鄉復興路432號2樓,0937475762,
U220474435,林瑩雅,000000000000,Female,1997/05/14,臺中市和平區東關路１段電廠巷496號16樓,0927860582,
R103043413,何宛瑜,000000000000,Female,1981/07/18,宜蘭縣羅東鎮大同路377號4樓,0925820502,
P247811357,黎鈞揚,000000000000,Female,1965/08/31,臺中市豐原區國豐路２段480號9樓,0930437732,
X175128085,張瑩翔,000000000000,Female,1997/10/31,高雄市三民區四平街109號7樓,0938617677,
W283348255,陳文智,000000000000,Male,1951/04/05,彰化縣社頭鄉文化東巷南一弄474號,0920666852,
A225633188,莊薇葶,000000000000,Male,2009/01/19,臺北市中山區大直街114號24樓,0970754037,
A283878061,何珺詠,000000000000,Female,2013/04/21,高雄市大寮區內坑路45號21樓,0923560633,
E254733502,強琨捷,000000000000,Female,1976/10/26,新北市板橋區民治街112號2樓,0911605863,
E258216422,洪庭誠,000000000000,Male,1992/10/08,彰化縣埔心鄉五賢路475號18樓,0956864685,
M117215834,郝蔆忠,000000000000,Female,1980/08/13,高雄市橋頭區公園東街146號2樓,0916560767,
P287404765,郭宜珮,000000000000,Male,1986/12/17,花蓮縣花蓮市富裕十街26號4樓,0988363740,
A185151650,曾霞思,000000000000,Male,2005/02/20,臺中市北區中清路１段447號,0968386142,
I113137064,林仙暐,000000000000,Male,1981/09/01,新竹市東區明湖路257號14樓,0926074566,
Z123726269,東嘉,000000000000,Male,1944/03/28,嘉義縣中埔鄉下埔洋177號11樓,0960276386,
R101786460,徐建國,000000000000,Female,2021/04/08,花蓮縣吉安鄉福昌路85號21樓,0928561676,
P212335077,林晨國,000000000000,Male,1972/09/12,宜蘭縣員山鄉惠民路328號14樓,0986051732,
B253052470,李殷誌,000000000000,Male,1971/08/09,臺中市東區樂業路335號4樓,0921058514,
E231160234,宋任銘,000000000000,Male,2013/02/21,桃園市龜山區興華一街169號19樓,0911344840,
E130587784,馬義惠,000000000000,Female,2001/07/24,新北市瑞芳區東和路297號9樓,0918468308,
A104228069,申嶧嘉,000000000000,Female,1931/07/18,屏東縣潮州鎮四春一巷83號21樓,0932187665,
R162374300,祖慕欣,000000000000,Female,2021/07/12,屏東縣內埔鄉仁華路94號20樓,0938323615,
M162712440,曹真怡,000000000000,Male,1969/08/26,嘉義縣大林鎮西榮路236號13樓,0936224002,
G246607460,戴可淳,000000000000,Male,2010/11/25,高雄市大樹區大樹路北巷129號11樓,0956225540,
B136633719,韓智晴,000000000000,Female,1957/12/10,桃園市大溪區坑底311號9樓,0970088001,
K163678759,陳善穎,000000000000,Male,1992/09/02,臺中市神岡區光啓路484號3樓,0925560137,
C143773729,謝素婷,000000000000,Female,2020/03/19,彰化縣永靖鄉永安街280號2樓,0936875168,
S170657462,廖鈺華,000000000000,Male,1954/07/11,新北市板橋區自強新村232號16樓,0924412814,
Y260582561,岑儀映,000000000000,Male,2012/06/19,花蓮縣壽豐鄉豐坪路３段191號21樓,0936027615,
K205147813,仇州綸,000000000000,Male,1936/11/01,嘉義縣番路鄉腦寮110號5樓,0987345455,
Y176242870,蔡慈俊,000000000000,Male,1973/08/19,桃園市中壢區水尾176號4樓,0917678667,
N130453780,衛蔚哲,000000000000,Female,1985/06/09,屏東縣屏東市北勢巷285號4樓,0913540362,
S140420242,李芳翰,000000000000,Male,1973/06/16,新竹縣尖石鄉麥樹仁378號9樓,0968558048,
C160202014,黎偉建,000000000000,Female,2009/07/11,彰化縣北斗鎮中山路２段293號16樓,0929803516,
X103786677,蔡英宇,000000000000,Male,2001/12/06,桃園市龜山區樹人路415號23樓,0926147168,
F143356105,謝諭佳,000000000000,Male,1970/06/01,臺南市南區美南街234號12樓,0932557146,
K161874244,柯玲福,000000000000,Female,1950/11/18,宜蘭縣員山鄉三鬮路130號7樓,0912506188,
D247838573,蔡昭揚,000000000000,Female,2014/08/08,臺中市南屯區寶山五街479號16樓,0970403657,
V117042026,郭蓮柔,000000000000,Male,1982/02/11,臺中市東區十全街181號21樓,0929772473,
V228453840,張書威,000000000000,Male,1974/06/26,桃園市大溪區公園路48號23樓,0987707043,
W244351512,燕豪,000000000000,Female,2013/12/23,彰化縣田中鎮員集路２段33號11樓,0982320527,
C165485773,柳旻鴻,000000000000,Male,1930/03/08,南投縣南投市忠孝三街162號9樓,0961322577,
Q256755569,霍蘭巧,000000000000,Female,1955/10/15,雲林縣斗六市復興路230號11樓,0925148337,
A208046403,長孫珮伶,000000000000,Male,2003/09/07,彰化縣和美鎮線東路２段228號14樓,0931341026,
C283367369,曾惠玲,000000000000,Female,1943/07/08,高雄市左營區重孝路310號21樓,0912600761,
I205306075,傅蓁伊,000000000000,Female,1937/09/28,屏東縣枋寮鄉青山路78號10樓,0988781422,
H212300882,萬育均,000000000000,Female,1933/02/18,臺中市西屯區福安北巷95號19樓,0922182558,
D176134635,馬輝邦,000000000000,Male,1997/06/30,臺中市北區國瑞街354號12樓,0934426233,
M245144128,胡博洲,000000000000,Female,1993/11/30,屏東縣內埔鄉新豐北路156號20樓,0931387753,
C230367442,何恬揚,000000000000,Female,1937/05/19,高雄市鳳山區鎮北北巷1號16樓,0913817178,
S170335247,邱汶銘,000000000000,Male,1957/02/16,桃園市中壢區三友新村325號4樓,0928385271,
Q184716301,陸宸詩,000000000000,Female,1944/08/10,桃園市八德區建國路173號13樓,0913017715,
Y116570835,鄭璽嘉,000000000000,Male,1985/10/18,雲林縣斗六市天祥街175號6樓,0953665361,
P181802818,向大美,000000000000,Male,1960/12/22,臺北市萬華區成都路140號5樓,0932215140,
Z245285189,傅士伯,000000000000,Female,2017/03/12,高雄市三民區鼎金三巷8號7樓,0956251021,
T106566255,齊采盈,000000000000,Male,1998/06/21,屏東縣滿州鄉中正路169號16樓,0920514673,
P156020871,權莉詮,000000000000,Female,1945/05/10,新竹縣竹北市光明六路263號7樓,0931731078,
Q228244159,賀尚賢,000000000000,Female,1958/12/09,新竹市香山區芝柏二街141號,0915204273,
Z160078606,彭津育,000000000000,Female,1979/09/21,高雄市左營區重愛路84號6樓,0968432788,
W206164060,陶承時,000000000000,Female,1982/10/06,南投縣竹山鎮田南巷42號5樓,0933651620,
B148176087,辛柏霖,000000000000,Female,1960/04/23,高雄市桃源區建山巷438號3樓,0987036282,
W114612180,史家雅,000000000000,Male,2021/12/06,桃園市龜山區德明路同昌巷148號3樓,0970652018,
U175560635,董郁盈,000000000000,Female,1999/11/04,臺中市東區東英七街332號12樓,0919261513,
I233705248,應荷雅,000000000000,Male,1991/12/22,高雄市大寮區潮仁路11號9樓,0924522815,
Y168788456,林成芳,000000000000,Male,1992/06/07,高雄市鼓山區華榮路143號11樓,0987665754,
